2020/03/21 18:20:17,q1,1.0,1.0,1.0,1.0,1.0,1.0
2020/03/21 17:43:33,てすと2,1.0,2.0,3.0,2.0,1.0,1.667
2020/03/21 17:43:05,てすと,1.0,2.0,3.0,4.0,5.0,3.0
2020/03/21 17:53:31,gggg,3.0,3.0,3.0,3.0,3.0,3.0
2020/03/21 17:46:03,aaa,DNF,DNF,DNF,DNF,DNF,DNF
2020/03/21 17:48:16,bbb,DNF,DNF,DNF,DNF,DNF,DNF
2020/03/21 18:02:58,っっｃ,DNF,DNF,DNF,DNF,DNF,DNF
2020/03/21 18:05:24,ff,DNF,DNF,DNF,DNF,DNF,DNF
2020/03/21 18:10:00,ttt,DNF,DNF,DNF,DNF,DNF,DNF
2020/03/21 18:11:58,ttt,DNF,DNF,DNF,DNF,DNF,DNF
2020/03/21 18:14:23,ooo,DNF,DNF,DNF,DNF,DNF,DNF
2020/03/21 18:18:09,hasido,DNF,DNF,DNF,DNF,DNF,DNF
2020/03/21 18:18:19,hasido,DNF,DNF,DNF,DNF,DNF,DNF
2020/03/21 18:25:13,d,DNF,DNF,DNF,DNF,DNF,DNF
2020/03/21 18:28:40,adsad,DNF,DNF,DNF,DNF,DNF,DNF
2020/03/21 18:34:23,ｊどいあｓ,DNF,DNF,DNF,DNF,DNF,DNF
