<<<<<<< HEAD
Clock,UR1- DR5+ DL2+ UL5+ U2+ R1+ D2+ L4- ALL2- y2 U2- R1- D1+ L4+ ALL4- DR,UR6+ DR3+ DL5- UL0+ U1+ R6+ D6+ L5- ALL6+ y2 U4+ R3+ D6+ L3- ALL4+ UR,UR6+ DR3- DL5+ UL4+ U1+ R1- D1- L1- ALL0+ y2 U3+ R5- D1+ L5+ ALL4- UR DR DL,UR6+ DR4+ DL4+ UL5- U3+ R1- D4- L1+ ALL3+ y2 U3- R1- D2+ L3+ ALL0+ UR,UR0+ DR3- DL5- UL3+ U1+ R3+ D4- L1- ALL4+ y2 U3+ R1+ D5+ L2- ALL4+ UR DL UL
Mirror3x3,R2 U2 B2 D2 F' L2 B R2 U2 L D2 F' D2 L' D B L2 R B' R2,B U' F D2 L' D2 F D2 B U L2 F2 R D2 R L F2 R F2 B2,B L' F D L' B' L2 F2 U F' R F2 R2 F' L2 F' R2 D2 F' B' D2,B2 R2 U' F U2 F D B R' D R U2 R' F2 U2 R F2 D2,L B2 R' B2 R F2 R F2 U L2 R D F L' D' B U' F2 D'
=======
Clock,UR2+ DR1- DL3- UL2+ U5- R0+ D1+ L3+ ALL3+ y2 U4- R1+ D1+ L3+ ALL6+ DR UL,UR1+ DR1- DL5+ UL2- U0+ R5- D1+ L4+ ALL4+ y2 U3+ R3+ D5- L1- ALL3- DL,UR3+ DR2+ DL6+ UL6+ U2- R3+ D2- L3- ALL1- y2 U5+ R1+ D1- L5- ALL1+ UR DR UL,UR5- DR2+ DL5- UL6+ U2+ R4- D4- L5+ ALL1- y2 U4- R5- D4- L2- ALL1+ DR DL,UR4+ DR3+ DL3+ UL2- U0+ R1- D3- L4+ ALL0+ y2 U1- R2- D2- L3+ ALL3+ UR DR
Mirror3x3,L F' D L' F' L' B U R' F' U' R2 U D2 L2 U R2 U' L2 B2 R2,D2 U2 R' F2 R D2 B2 D2 R' F2 D' B L2 B2 R' B' R F D B,R2 U2 R2 F2 U B2 L2 D' L2 D R' D' B F' L U F2 R B F R',B2 L' D2 R U' B U2 F2 D B D2 L F2 U2 R' B2 L F2 R U2,L' F2 R' B' R2 B D' R' L2 B2 R2 U D2 R2 B2 U D2 F2 R2
Floppy,L2 B2 R2 L2 B2 L2 B2 R2 B2 R2 F2 L2 R2 F2 R2 ,L2 B2 R2 L2 B2 F2 R2 F2 L2 R2 F2 R2 B2 R2 B2 ,R2 L2 F2 L2 R2 B2 R2 L2 B2 R2 B2 L2 B2 L2 F2 ,R2 F2 L2 R2 F2 L2 F2 L2 B2 L2 R2 B2 R2 F2 B2 ,B2 R2 B2 F2 L2 B2 L2 F2 B2 R2 B2 L2 R2 F2 L2 
SuperFloppy,L B F2 L' F2 B L' B2 F R F' L' B2 F2 L2 F2 L' B' L' B' ,F L' B2 R2 B' R B R B2 L R2 F2 R' F2 L2 R F L2 B2 F2 ,R2 L2 B2 R2 F' R2 F2 L' F2 B2 L2 B L R2 F2 L' R2 B2 R F' ,F' B' R2 F' R' L' F2 L' F2 B' L2 R2 B2 R B2 F' L F B R ,R2 B' F2 L' F' L2 F' B L' F R B2 R2 L' F R' L2 F2 L F 
FloppyGhost,DR2 DL2 U2 DR2 UR2 U2 DR2 UR2 U2 DR2 DL2 DR2 UR2 U2 DR2 DL2 U2 DR2 DL2 DR2 ,U2 DL2 UR2 DR2 UR2 DL2 U2 UR2 DL2 U2 DR2 DL2 DR2 UR2 DL2 DR2 U2 DL2 UR2 DR2 ,DR2 DL2 U2 UR2 DL2 DR2 U2 UR2 DR2 UR2 U2 UR2 DR2 U2 DL2 DR2 UR2 U2 UR2 DR2 ,DL2 DR2 UR2 U2 DR2 UR2 DR2 U2 UR2 DR2 UR2 DR2 DL2 UR2 DR2 U2 DL2 U2 DR2 UR2 ,DR2 U2 UR2 DR2 UR2 DL2 U2 DR2 UR2 U2 DR2 UR2 DR2 UR2 DR2 U2 UR2 DR2 UR2 U2 
Void,D2 L D2 B2 U2 R' D2 L2 U2 L' F2 U' L2 F' U R F2 D2 R' U' B Uw2,D U' L2 D R2 F2 D' F2 R2 F2 U2 R' F U2 R U' F2 U' B' U' F' Uw',U2 L2 B2 U F2 U2 B' U L2 F D2 L2 R' U2 L2 B' U2,U' B2 R2 F2 D2 R2 U' F2 R2 D' L2 B D' B2 F' R B L U' B2 U2 Rw Uw2,F' D2 L2 D2 L2 B2 L2 B U2 B' D' R2 D2 F D' B2 L2 B' L R U' Rw Uw
Kilominx,R-- D++ R-- D-- R-- D++ R-- D++ R-- D++ U' / R++ D++ R-- D-- R++ D-- R++ D-- R-- D++ U / R++ D-- R++ D++ R-- D++ R-- D-- R-- D++ U,R-- D-- R-- D-- R-- D-- R-- D++ R-- D-- U / R-- D-- R++ D-- R-- D-- R-- D-- R-- D++ U' / R-- D-- R++ D-- R++ D++ R++ D-- R++ D-- U,R++ D-- R-- D++ R++ D++ R-- D-- R++ D-- U' / R-- D++ R-- D++ R++ D-- R-- D++ R-- D++ U / R++ D++ R-- D-- R++ D++ R-- D++ R-- D-- U,R-- D-- R++ D++ R-- D-- R++ D++ R-- D++ U' / R-- D++ R++ D-- R-- D-- R++ D-- R-- D++ U' / R-- D++ R-- D-- R++ D++ R++ D++ R-- D-- U,R-- D++ R-- D++ R-- D-- R++ D++ R++ D-- U' / R++ D-- R++ D++ R++ D-- R-- D++ R-- D-- U' / R-- D++ R++ D++ R++ D++ R++ D-- R-- D-- U
Redi,L' R' L' R L' x R L R' L' x L' R' L' R' x R L R L x R L' R' L R' L x L R L R x R L' R' L' x R L R',R' L' R' L' R x R L R L' R' x L' R' L' R' L' R' x R' L' R' L' R L x L R' L' x R L' R L' R L' x L R L' R' x R' L' R,L R L R' L x L' R L R L x R' L R' L x R L R' x L R L R L R' x R L R' L R' x R L R' L' R' x R L R' L,R' L R L R x L R' L x L' R L' R L R' x R' L' R L R' x R' L' R' L' R L' x L' R' L' R' L' x L R L R' x R' L' R L R,L R' L x L' R L R' L R' x R L' R' L' x R L R x R' L' R L R x R' L R' L' x R' L R L' R' x L R' L' R' L
>>>>>>> c2d92cb7e4afe1a83871baa2a2a2d04ac659095d
